# emoji	group	subgroup	name	keywords
😀	Smileys & Emotion	face-smiling	grinning face	grinning face,cheerful,cheery,face,grin,grinning,happy,laugh,nice,smile,smiling,teeth
😃	Smileys & Emotion	face-smiling	grinning face with big eyes	grinning face with big eyes,awesome,big,eyes,face,grin,grinning,happy,mouth,open,smile,smiling,teeth,yay
😄	Smileys & Emotion	face-smiling	grinning face with smiling eyes	grinning face with smiling eyes,eye,eyes,face,grin,grinning,happy,laugh,lol,mouth,open,smile,smiling
😁	Smileys & Emotion	face-smiling	beaming face with smiling eyes	beaming face with smiling eyes,beaming,eye,eyes,face,grin,grinning,happy,nice,smile,smiling,teeth
😆	Smileys & Emotion	face-smiling	grinning squinting face	grinning squinting face,closed,eyes,face,grinning,haha,hahaha,happy,laugh,lol,mouth,open,rofl,smile,smiling,squinting
😅	Smileys & Emotion	face-smiling	grinning face with sweat	grinning face with sweat,cold,dejected,excited,face,grinning,mouth,nervous,open,smile,smiling,stress,stressed,sweat
🤣	Smileys & Emotion	face-smiling	rolling on the floor laughing	rolling on the floor laughing,crying,face,floor,funny,haha,happy,hehe,hilarious,joy,laugh,lmao,lol,rofl,roflmao,rolling,tear
😂	Smileys & Emotion	face-smiling	face with tears of joy	face with tears of joy,crying,face,feels,funny,haha,happy,hehe,hilarious,joy,laugh,lmao,lol,rofl,roflmao,tear
🙂	Smileys & Emotion	face-smiling	slightly smiling face	slightly smiling face,face,happy,slightly,smile,smiling
🙃	Smileys & Emotion	face-smiling	upside-down face	upside-down face,face,hehe,smile,upside-down
🫠	Smileys & Emotion	face-smiling	melting face	melting face,disappear,dissolve,embarrassed,face,haha,heat,hot,liquid,lol,melt,melting,sarcasm,sarcastic
😉	Smileys & Emotion	face-smiling	winking face	winking face,face,flirt,heartbreaker,sexy,slide,tease,wink,winking,winks
😊	Smileys & Emotion	face-smiling	smiling face with smiling eyes	smiling face with smiling eyes,blush,eye,eyes,face,glad,satisfied,smile,smiling
😇	Smileys & Emotion	face-smiling	smiling face with halo	smiling face with halo,angel,angelic,angels,blessed,face,fairy,fairytale,fantasy,halo,happy,innocent,peaceful,smile,smiling,spirit,tale
🥰	Smileys & Emotion	face-affection	smiling face with hearts	smiling face with hearts,3,adore,crush,face,heart,hearts,ily,love,romance,smile,smiling,you
😍	Smileys & Emotion	face-affection	smiling face with heart-eyes	smiling face with heart-eyes,143,bae,eye,face,feels,heart-eyes,hearts,ily,kisses,love,romance,romantic,smile,xoxo
🤩	Smileys & Emotion	face-affection	star-struck	star-struck,excited,eyes,face,grinning,smile,star,starry-eyed,wow
😘	Smileys & Emotion	face-affection	face blowing a kiss	face blowing a kiss,adorbs,bae,blowing,face,flirt,heart,ily,kiss,love,lover,miss,muah,romantic,smooch,xoxo,you
😗	Smileys & Emotion	face-affection	kissing face	kissing face,143,date,dating,face,flirt,ily,kiss,love,smooch,smooches,xoxo,you
☺️	Smileys & Emotion	face-affection	smiling face	smiling face
😚	Smileys & Emotion	face-affection	kissing face with closed eyes	kissing face with closed eyes,143,bae,blush,closed,date,dating,eye,eyes,face,flirt,ily,kisses,kissing,smooches,xoxo
😙	Smileys & Emotion	face-affection	kissing face with smiling eyes	kissing face with smiling eyes,143,closed,date,dating,eye,eyes,face,flirt,ily,kiss,kisses,kissing,love,night,smile,smiling
🥲	Smileys & Emotion	face-affection	smiling face with tear	smiling face with tear,face,glad,grateful,happy,joy,pain,proud,relieved,smile,smiley,smiling,tear,touched
😋	Smileys & Emotion	face-tongue	face savoring food	face savoring food,delicious,eat,face,food,full,hungry,savor,smile,smiling,tasty,um,yum,yummy
😛	Smileys & Emotion	face-tongue	face with tongue	face with tongue,awesome,cool,face,nice,party,stuck-out,sweet,tongue
😜	Smileys & Emotion	face-tongue	winking face with tongue	winking face with tongue,crazy,epic,eye,face,funny,joke,loopy,nutty,party,stuck-out,tongue,wacky,weirdo,wink,winking,yolo
🤪	Smileys & Emotion	face-tongue	zany face	zany face,crazy,eye,eyes,face,goofy,large,small,zany
😝	Smileys & Emotion	face-tongue	squinting face with tongue	squinting face with tongue,closed,eye,eyes,face,gross,horrible,omg,squinting,stuck-out,taste,tongue,whatever,yolo
🤑	Smileys & Emotion	face-tongue	money-mouth face	money-mouth face,face,money,money-mouth,mouth,paid
🤗	Smileys & Emotion	face-hand	smiling face with open hands	smiling face with open hands,face,hands,hug,hugging,open,smiling
🤭	Smileys & Emotion	face-hand	face with hand over mouth	face with hand over mouth,face,giggle,giggling,hand,mouth,oops,realization,secret,shock,sudden,surprise,whoops
🫢	Smileys & Emotion	face-hand	face with open eyes and hand over mouth	face with open eyes and hand over mouth,amazement,awe,disbelief,embarrass,eyes,face,gasp,hand,mouth,omg,open,over,quiet,scared,shock,surprise
🫣	Smileys & Emotion	face-hand	face with peeking eye	face with peeking eye,captivated,embarrass,eye,face,hide,hiding,peek,peeking,peep,scared,shy,stare
🤫	Smileys & Emotion	face-hand	shushing face	shushing face,face,quiet,shh,shush,shushing
🤔	Smileys & Emotion	face-hand	thinking face	thinking face,chin,consider,face,hmm,ponder,pondering,thinking,wondering
🫡	Smileys & Emotion	face-hand	saluting face	saluting face,face,good,luck,ma’am,ok,respect,salute,saluting,sir,troops,yes
🤐	Smileys & Emotion	face-neutral-skeptical	zipper-mouth face	zipper-mouth face,face,keep,mouth,quiet,secret,shut,zip,zipper,zipper-mouth
🤨	Smileys & Emotion	face-neutral-skeptical	face with raised eyebrow	face with raised eyebrow,disapproval,disbelief,distrust,emoji,eyebrow,face,hmm,mild,raised,skeptic,skeptical,skepticism,surprise,what
😐	Smileys & Emotion	face-neutral-skeptical	neutral face	neutral face,awkward,blank,deadpan,expressionless,face,fine,jealous,meh,neutral,oh,shade,straight,unamused,unhappy,unimpressed,whatever
😑	Smileys & Emotion	face-neutral-skeptical	expressionless face	expressionless face,awkward,dead,expressionless,face,fine,inexpressive,jealous,meh,not,oh,omg,straight,uh,unhappy,unimpressed,whatever
😶	Smileys & Emotion	face-neutral-skeptical	face without mouth	face without mouth,awkward,blank,expressionless,face,mouth,mouthless,mute,quiet,secret,silence,silent,speechless
🫥	Smileys & Emotion	face-neutral-skeptical	dotted line face	dotted line face,depressed,disappear,dotted,face,hidden,hide,introvert,invisible,line,meh,whatever,wtv
😶‍🌫️	Smileys & Emotion	face-neutral-skeptical	face in clouds	face in clouds
😏	Smileys & Emotion	face-neutral-skeptical	smirking face	smirking face,boss,dapper,face,flirt,homie,kidding,leer,shade,slick,sly,smirk,smug,snicker,suave,suspicious,swag
😒	Smileys & Emotion	face-neutral-skeptical	unamused face	unamused face,...,bored,face,fine,jealous,jel,jelly,pissed,smh,ugh,uhh,unamused,unhappy,weird,whatever
🙄	Smileys & Emotion	face-neutral-skeptical	face with rolling eyes	face with rolling eyes,eyeroll,eyes,face,rolling,shade,ugh,whatever
😬	Smileys & Emotion	face-neutral-skeptical	grimacing face	grimacing face,awk,awkward,dentist,face,grimace,grimacing,grinning,smile,smiling
😮‍💨	Smileys & Emotion	face-neutral-skeptical	face exhaling	face exhaling,blow,blowing,exhale,exhaling,exhausted,face,gasp,groan,relief,sigh,smiley,smoke,whisper,whistle
🤥	Smileys & Emotion	face-neutral-skeptical	lying face	lying face,face,liar,lie,lying,pinocchio
🫨	Smileys & Emotion	face-neutral-skeptical	shaking face	shaking face,crazy,daze,earthquake,face,omg,panic,shaking,shock,surprise,vibrate,whoa,wow
🙂‍↔️	Smileys & Emotion	face-neutral-skeptical	head shaking horizontally	head shaking horizontally
🙂‍↕️	Smileys & Emotion	face-neutral-skeptical	head shaking vertically	head shaking vertically
😌	Smileys & Emotion	face-sleepy	relieved face	relieved face,calm,face,peace,relief,relieved,zen
😔	Smileys & Emotion	face-sleepy	pensive face	pensive face,awful,bored,dejected,died,disappointed,face,losing,lost,pensive,sad,sucks
😪	Smileys & Emotion	face-sleepy	sleepy face	sleepy face,crying,face,good,night,sad,sleep,sleeping,sleepy,tired
🤤	Smileys & Emotion	face-sleepy	drooling face	drooling face,drooling,face
😴	Smileys & Emotion	face-sleepy	sleeping face	sleeping face,bed,bedtime,face,good,goodnight,nap,night,sleep,sleeping,tired,whatever,yawn,zzz
🫩	Smileys & Emotion	face-sleepy	face with bags under eyes	face with bags under eyes,bags,bored,exhausted,eyes,face,fatigued,late,sleepy,tired,weary
😷	Smileys & Emotion	face-unwell	face with medical mask	face with medical mask,cold,dentist,dermatologist,doctor,dr,face,germs,mask,medical,medicine,sick
🤒	Smileys & Emotion	face-unwell	face with thermometer	face with thermometer,face,ill,sick,thermometer
🤕	Smileys & Emotion	face-unwell	face with head-bandage	face with head-bandage,bandage,face,head-bandage,hurt,injury,ouch
🤢	Smileys & Emotion	face-unwell	nauseated face	nauseated face,face,gross,nasty,nauseated,sick,vomit
🤮	Smileys & Emotion	face-unwell	face vomiting	face vomiting,barf,ew,face,gross,puke,sick,spew,throw,up,vomit,vomiting
🤧	Smileys & Emotion	face-unwell	sneezing face	sneezing face,face,fever,flu,gesundheit,sick,sneeze,sneezing
